,text,entity_indices,entities,labels,relations,edges
18,The girl showed a photo of apple tree blossom on a fruit tree in the Central Valley,"(7, 8)","['tree', 'blossom']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
19,They tried an assault of their own an hour later with two columns of sixteen tanks backed by a battalion of Panzer grenadiers,"(19, 22)","['battalion', 'grenadiers']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
20,Their knowledge of the power and rank symbols of the Continental empires was gained from the numerous Germanic recruits in the Roman army and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces,"(1, 18)","['knowledge', 'recruits']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
21,She soon had a stable of her own rescued hounds,"(4, 9)","['stable', 'hounds']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
22,The singer who performed three of the nominated songs also caused a commotion on the red carpet,"(1, 12)","['singer', 'commotion']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
23,His intellectually engaging books and essays remain pertinent to illuminating contemporary history,"(5, 11)","['essays', 'history']",Other,['Other'],NA
24,Poor hygiene controls reports of a brace of gamey grouse and what looked like a skinned fox all amounted to a pie that was unfit for human consumption,"(6, 9)","['brace', 'grouse']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
25,This sweet dress is made with a blend of cotton and silk and the crochet flower necklace is the perfect accessory,"(2, 7)","['dress', 'blend']",Other,['Other'],NA
26,Suicide is one of the leading causes of death among pre-adolescents and teens and victims of bullying are at an increased risk for committing suicide,"(0, 8)","['Suicide', 'death']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
27,This article gives details on 2004 in music in the United Kingdom including the official charts from that year,"(1, 7)","['article', 'music']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
28,We have therefore taken the initiative to convene the first international open meeting dedicated solely to rural history,"(12, 17)","['meeting', 'rural history']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
29,The timer of the device automatically eliminates wasted standby power consumption by automatically turn off electronics plugged into the auto off outlets,"(1, 4)","['timer', 'device']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
30,Bob Parks made a similar offer in a phone call made earlier this week,"(5, 9)","['offer', 'phone call']","Message-Topic(e2,e1)",['Message-Topic'],"(e2,e1)"
31,He had chest pains and headaches from mold in the bedrooms,"(5, 7)","['headaches', 'mold']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
32,The silver-haired author was not just laying India politician saint to rest but healing a generations-old rift in the family of the country founding father,"(22, 24)","['country', 'father']","Product-Producer(e1,e2)",['Product-Producer'],"(e1,e2)"
33,It describes a method for loading a horizontal stack of containers into a carton,"(8, 13)","['stack', 'carton']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
34,The Foundation decided to repurpose the building in order to reduce wear and tear on the plumbing in the manor house by redirecting visitors during restoration projects and beyond,"(16, 20)","['plumbing', 'manor house']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
35,The technology is available to produce and transmit electricity economically from OTEC systems,"(8, 12)","['electricity', 'systems']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
36,The Medicare buy-in plan ran into Senate resistance,"(3, 7)","['plan', 'resistance']",Other,['Other'],NA
37,The provinces are divided into counties shahrestan and subdivided into districts bakhsh and sub-districts dehestan,"(1, 5)","['provinces', 'counties']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
38,Financial stress is one of the main causes of divorce,"(1, 9)","['stress', 'divorce']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
39,Newspapers swap content via widgets with the help of the newsgator service,"(0, 11)","['Newspapers', 'service']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
40,The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median,"(1, 5)","['women', 'accident']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
41,The transmitter was discovered inside a bed settee suite on which he had been sitting,"(1, 8)","['transmitter', 'suite']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
42,The Kerala backwaters are a chain of brackish lagoons and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India,"(5, 8)","['chain', 'lagoons']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
43,A St Paul College student was released from jail Wednesday night after his arrest Tuesday in the alleged rape of another student on campus,"(4, 8)","['student', 'jail']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
44,Calluses are caused by improperly fitting shoes or by a skin abnormality,"(0, 11)","['Calluses', 'skin abnormality']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
45,Adults use drugs for this purpose,"(0, 2)","['Adults', 'drugs']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
46,The councilor proposed assessing infinitival complements through elicitation,"(1, 7)","['councilor', 'elicitation']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
47,As in the popular movie Deep Impact the action of the Perseid meteor shower is caused by a comet in this case periodic comet Swift-Tuttle,"(13, 18)","['meteor shower', 'comet']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
48,The following information appeared in the notes to consolidated financial statements of some corporate annual reports,"(6, 10)","['notes', 'statements']",Other,['Other'],NA
49,HipHop appropriates the symbols of a consumer society oversized diamond colliers are worn,"(9, 10)","['diamond', 'colliers']",Other,['Other'],NA
50,The radiation from the atomic bomb explosion is a typical acute radiation,"(1, 6)","['radiation', 'bomb explosion']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
51,The ride-on boat tiller was developed by engineers Arnold S Juliano and Dr Eulito U Bautista,"(2, 3)","['boat', 'tiller']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
52,A neoplastic recurrence arose from an extensive radiation induced ulceration,"(2, 7)","['recurrence', 'radiation']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
53,He has a tattoo on his right arm and scars from stitches on his right elbow,"(9, 11)","['scars', 'stitches']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
54,Whether your home includes a charm of finches a sute of bloodhounds or a knob of toads I think it important to keep the numbers within reason,"(14, 16)","['knob', 'toads']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
55,Furthermore these INGO practitioners constructed a discourse around participation which distorted the real significance of participation,"(6, 8)","['discourse', 'participation']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
56,Kelvin bought a silver ring which he was so happy with and he keeps wearing it now even though its abit too big haha,"(3, 4)","['silver', 'ring']",Other,['Other'],NA
57,Scientists are in the midst of an ongoing debate about the relative value of openness and collaboration in their profession,"(8, 12)","['debate', 'value']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
58,This cut blue and white striped cotton dress with red bands on the bodice was in a trunk of vintage Barbie clothing,"(7, 17)","['dress', 'trunk']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
59,My major disagreement with Lyons concerns the causal part of his theory,"(2, 8)","['disagreement', 'causal part']",Other,['Other'],NA
60,Both his feet have been moving into the ball,"(2, 8)","['feet', 'ball']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
61,The scissors were in a small plastic soap container next to a bar of soap and the box cutters were in a box next to a bottle of after-shave lotion,"(18, 22)","['box cutters', 'box']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
62,A great wing of fluorite dragons the greatest concentration of the rather solitary dragons ever known joined the desperate battle with the blues and silvers against Chaos,"(2, 5)","['wing', 'dragons']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
63,As a control cowpea was sealed in double bags without fumigant,"(3, 8)","['cowpea', 'double bags']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
64,The infectious bacterial disease brucellosis has been found in a beef cow in eastern Idaho,"(4, 11)","['brucellosis', 'cow']",Other,['Other'],NA
65,As the Anglo-Norman force sustained but little loss in this battle their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour and shot them down in hundreds before they could get to close quarters and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights completed the havoc and rout of the undisciplined Gaelic hosts,"(61, 66)","['rout', 'hosts']",Other,['Other'],NA
66,The first incarnation of this series was set in the 1940s during World War II when the princess left her native paradise island where Amazon women had lived for centuries to help the US foil the Nazis,"(17, 22)","['princess', 'island']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
67,Cieply story makes a compelling point about modern-day studio economics,"(1, 5)","['story', 'point']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
68,We poured the milk into the pumpkin mixture,"(3, 7)","['milk', 'pumpkin mixture']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
69,Lawyers in Detroit also worked overtime as several lawsuits ensued from angry and injured fans,"(8, 14)","['lawsuits', 'fans']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
70,The continuing Nigerian outbreak is the biggest ever caused by the vaccine,"(3, 11)","['outbreak', 'vaccine']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
71,Our mercenary Army has now degenerated into a Godless cabal of mindless killers not unlike the Soviets that were butchering civilians in Afghanistan exactly as sadistically as we have,"(9, 12)","['cabal', 'killers']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
72,The fire inside WTC was caused by exploding fuel,"(1, 8)","['fire', 'fuel']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
73,The epithelium from the knockout mouse bladder is migrating into the transplanted matrix,"(1, 12)","['epithelium', 'matrix']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
74,The staff was removed from his position,"(1, 6)","['staff', 'position']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
75,The suffering caused by the terrorists is the real torture,"(1, 5)","['suffering', 'terrorists']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
76,This love of nature gift has been reflected in artworks dating back more than a thousand years,"(1, 9)","['love', 'artworks']","Message-Topic(e2,e1)",['Message-Topic'],"(e2,e1)"
77,The court decided the objection by making the instalment order as sought,"(1, 9)","['court', 'order']","Product-Producer(e2,e1)",['Product-Producer'],"(e2,e1)"
78,In a poetic twist the tsunami triggered by the rock band forced many American jazz and blues singers to seek work in the United Kingdom which is where Anderson found a receptive audience in 1965,"(5, 10)","['tsunami', 'band']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
79,Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit,"(0, 6)","['Leakage', 'corrosion']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
80,A team of students from Virginia Tech University have created a vehicle that allows vision impaired drivers to take control of the wheel,"(16, 22)","['drivers', 'wheel']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
81,BMW iDrive 40 brings in a horde of new features,"(6, 9)","['horde', 'features']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
82,The metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp,"(2, 8)","['ball', 'noise']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
83,It consists of an ensemble of ladies who are highly qualified to play various Arabic musical instruments,"(4, 6)","['ensemble', 'ladies']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
84,It underscores the need for continued surveillance of nicotine delivery in products created by an unregulated industry,"(11, 16)","['products', 'industry']","Product-Producer(e1,e2)",['Product-Producer'],"(e1,e2)"
85,Unlike other fish grunion come out of the water completely to lay their eggs in the wet sand of the beach,"(17, 20)","['sand', 'beach']",Other,['Other'],NA
86,A large marble was dropped into the bowl,"(2, 7)","['marble', 'bowl']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
87,Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities,"(4, 10)","['damage', 'earthquake']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
88,AI requested that the perpetrators be prosecuted to the fullest extent of the law that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers,"(33, 39)","['suffering', 'officers']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
89,The findings have been published in a special section of the academic journal Archives of Sexual Behavior,"(1, 8)","['findings', 'section']",Other,['Other'],NA
90,An Amtrak passenger who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the train and is being held in Colorado,"(2, 19)","['passenger', 'train']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
91,The introduction in the book is a summary of what is in the text,"(1, 4)","['introduction', 'book']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
92,The second simulation was started from the uncomplexed x-ray structure after insertion of the ligand into the binding site,"(2, 9)","['simulation', 'structure']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
93,This user plays games on a portable console,"(1, 7)","['user', 'console']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
94,The ambitious Eurasia exhibition arose from an idea by Achille Bonito Oliva,"(3, 7)","['exhibition', 'idea']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
95,The driver of the cement truck cleaned the loading chute on his truck with a truck-mounted water hose and began to pull away,"(1, 17)","['driver', 'hose']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
96,The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the recession triggered by the 1929 Wall Street crash,"(31, 38)","['recession', 'crash']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
97,In the corner there are several gate captains and a legion of Wu crossbowmen,"(10, 13)","['legion', 'crossbowmen']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
98,Once they grow there the swelling and inflammation caused by the infection closes off the sac causing it not to shed bacteria and protecting the bacteria inside from antibiotics and your body own immune cells,"(5, 11)","['swelling', 'infection']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
99,Guitars are played acoustically the tone is produced by the vibration of the strings which is amplified by the body of the guitar which acts as a large hollow resonating chamber or they may rely on an amplifier that can electronically manipulate tone,"(5, 10)","['tone', 'vibration']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
100,Flowers are reborn from the soil and the climate begins to warm all set to a score improvised by an orchestra of birds,"(16, 20)","['score', 'orchestra']",Other,['Other'],NA
101,He posted the answers to the website,"(3, 6)","['answers', 'website']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
102,Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank though the threat caused by the spell is minimal,"(15, 19)","['threat', 'spell']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
103,A programmer uses a high level language to implement its algorithms,"(1, 6)","['programmer', 'language']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
104,The beautiful hydrothermal features in the park geysers hot springs mud pots etc the uplift and subsidence and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids,"(21, 26)","['earthquakes', 'movements']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
105,Flowers are nice but don last very long and the fruit in a fruit basket often goes bad,"(10, 14)","['fruit', 'basket']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
106,He decided to pad the heel of shoes with a shock absorbing insole or heel pad,"(5, 7)","['heel', 'shoes']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
107,From the Scots Lingle and French Ligneul Lignoul comes a shoemaker sewing thread waxed and bristled See Waxed End,"(10, 12)","['shoemaker', 'thread']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
108,One tablet per quart was dropped into a canteen and made the water safe to drink,"(1, 8)","['tablet', 'canteen']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
109,The tiny image of the Renaissance master is hidden in a carafe of wine in his 1597 oil painting Bacchus one of his most acclaimed works,"(2, 11)","['image', 'carafe']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
110,Then I swept up the dust which looked like sawdust and put it in a plastic container which was in a cabinet under the granite counter top,"(16, 21)","['plastic container', 'cabinet']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
111,In the former method the acetone was distilled from an allraline solution after the excess oxidant had been destroyed with sodium,"(5, 11)","['acetone', 'solution']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
112,In this comprehensive guide over 850 roses are described illustrated and arranged by group,"(3, 6)","['guide', 'roses']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
113,Chestnut flour was more common than wheat flour in the Italian Alps a century ago,"(0, 1)","['Chestnut', 'flour']","Entity-Origin(e2,e1)",['Entity-Origin'],"(e2,e1)"
114,For us the term artists book simply means a book made by an artist a book made as a work of art rather than as a literary artifact,"(4, 5)","['artists', 'book']","Product-Producer(e2,e1)",['Product-Producer'],"(e2,e1)"
115,My parents bought her a silver necklace almost identical to the one pictured,"(5, 6)","['silver', 'necklace']",Other,['Other'],NA
116,Forward motion of the vehicle through the air caused a suction on the road draft tube,"(1, 10)","['motion', 'suction']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
117,Paul Friedrich guides us through a babel of words and worlds of the imagination ranging from his translations from five languagesnotably the Russian of his literary studies to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways a Vermont farm father and child,"(6, 8)","['babel', 'words']",Other,['Other'],NA
118,The picture below shows a view chapel and west range of the inner courtyard of the castle,"(13, 16)","['courtyard', 'castle']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
119,I was attacked by a flock of pigeons today,"(5, 7)","['flock', 'pigeons']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
120,That decision was also the subject of an unsuccessful legal challenge,"(1, 10)","['decision', 'legal challenge']",Other,['Other'],NA
121,The exit temperature of an effluent stream from the low temperature steam reforming reactor is not higher than 600 C,"(6, 13)","['stream', 'reactor']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
122,Individual investors moved into the property,"(1, 5)","['investors', 'property']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
123,One of the trickiest questions to answer in an interview relates to salary,"(4, 12)","['questions', 'salary']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
124,This tradition has been narrated in prophet early biographies,"(1, 8)","['tradition', 'biographies']","Message-Topic(e2,e1)",['Message-Topic'],"(e2,e1)"
125,A thief who tried to steal the truck broke the igenition with screwdriver,"(1, 12)","['thief', 'screwdriver']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
126,After the Marian reforms the Legion was notionally a unit of heavy infantrymen armed with just sword and pilum but even so it was normally fielded with attached auxiliary skirmishers and missile troops and incorporated a small cavalry unit,"(9, 12)","['unit', 'infantrymen']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
127,The prosecutors carried guns into the court room,"(3, 7)","['guns', 'court room']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
128,The malfunctions on Monday caused delays for patrons waiting to check out or renew books at the branches and impeded access to personal accounts that allow users to renew or hold books online,"(1, 5)","['malfunctions', 'delays']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
129,Chemical weapons have been dropped into the lake,"(1, 7)","['Chemical weapons', 'lake']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
130,Many other dwarves also hailed from this infamous clan,"(2, 8)","['dwarves', 'clan']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
131,The nose of a bloodhound is so good that evidence found by a bloodhound will hold up in matters involving the United States Supreme Court,"(1, 4)","['nose', 'bloodhound']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
132,Global digital music sales grow as the music industry develops new business models,"(8, 12)","['industry', 'models']","Product-Producer(e2,e1)",['Product-Producer'],"(e2,e1)"
133,The devices were manufactured at the factory in Beaverton well into the 1980s when production was shifted elsewhere and portions of the factory sold,"(1, 6)","['devices', 'factory']","Product-Producer(e1,e2)",['Product-Producer'],"(e1,e2)"
134,An expensive uniform and a strict ballot rendered it somewhat too exclusive in its character but in the end it answered its purpose by becoming practically a muster of the National leaders of the present and the future,"(27, 31)","['muster', 'leaders']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
135,The train ride from station to station is approximate 30 minutes,"(2, 4)","['train ride', 'station']",Other,['Other'],NA
136,The archaeological site yields relics from long-forgotten culture,"(4, 7)","['relics', 'culture']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
137,A maze of interlocking jurisdictions and levels of government confronts average citizens in trying to solve even the simplest of problems,"(1, 4)","['maze', 'jurisdictions']",Other,['Other'],NA
138,Water damage from roof leaks plumbing leaks or flooding lead to the growth of molds,"(1, 12)","['damage', 'growth']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
139,Warm weather is here and with it comes the scourge of mosquitoes,"(9, 11)","['scourge', 'mosquitoes']",Other,['Other'],NA
140,The formation of struvite stones is associated with the presence of urea-splitting bacteria most commonly Proteus mirabilis but also Klebsiella Serratia Providencia species,"(1, 4)","['formation', 'stones']",Other,['Other'],NA
141,Our army was successfully engaged during the day with strong rearguards of all arms on the Petit Morin River thereby materially assisting the progress of the French armies on our right and left against whom the enemy was making his greatest efforts,"(36, 41)","['enemy', 'efforts']",Other,['Other'],NA
142,So when William did cross the Boyne on July 1st 1690 he had an army consisting of the riffraff of Europe mercenaries,"(18, 21)","['riffraff', 'mercenaries']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
143,The overall geometry of the heart was extracted from the intensity data,"(2, 11)","['geometry', 'data']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
144,The discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position,"(1, 4)","['discomfort', 'injury']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
145,Flames of purple pink yellow and blue dance in the air as a coven of sorcerers call forth energies from within the Empyrean,"(13, 15)","['coven', 'sorcerers']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
146,Out of the early morning haze a convoy of articulated lorries pulls into the Gashouder square,"(7, 10)","['convoy', 'lorries']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
147,This book has transported readers into ancient times,"(4, 7)","['readers', 'ancient times']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
148,We always try to maintain the best environment for programmers starting with good salary and conducive working environment,"(7, 9)","['environment', 'programmers']",Other,['Other'],NA
149,Indeed a green or black basalt heart scarab was found put inside the body in its place,"(7, 13)","['scarab', 'body']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
150,The first motorcycle was manufactured in a small wood building with only one room,"(2, 9)","['motorcycle', 'building']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
151,The water pushed to the coast resulted in tides as much as three feet above normal with waves of 5-10 feet atop these tides,"(1, 8)","['water', 'tides']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
152,The chapters in this book investigate issues and communities,"(1, 6)","['chapters', 'issues']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
153,He rescheduled the birthday party to the next day,"(4, 8)","['party', 'next day']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
154,The bacterial aerosol was generated from an up-draft nebulizer,"(2, 8)","['bacterial aerosol', 'nebulizer']","Product-Producer(e2,e1)",['Product-Producer'],"(e2,e1)"
155,People have travelled into space but not the deep ocean,"(0, 4)","['People', 'space']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
156,For those of you who are unsure what Afrikaans is it is a language which originated from the Dutch which were the first settlers in South Africa and the unique language was evolved from other settlers from Malaya Indonesia Madagascar and West Africa,"(30, 35)","['language', 'settlers']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
157,Beaver dams are created as a protection against predators such as coyotes wolves and bears and to provide easy access to food during winter,"(0, 1)","['Beaver', 'dams']","Product-Producer(e2,e1)",['Product-Producer'],"(e2,e1)"
158,So the theme of the play has to do with religion,"(5, 10)","['play', 'religion']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
159,There has been intense debate over the circles origins,"(4, 8)","['debate', 'origins']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
160,I have recently developed creases in my ear lobes,"(7, 8)","['ear', 'lobes']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
161,Manufacturing extra neutral alcohol which is the basic ingredient used for making liquor the commodity was largely used by companies making Indian Made Foreign Liquor IMFL,"(3, 12)","['alcohol', 'liquor']","Entity-Origin(e2,e1)",['Entity-Origin'],"(e2,e1)"
